idx,GT,PT_pred,ONNX_op18_pred,match18,diff18,ONNX_op11_pred,match11,diff11
31,使498290,使498290,使498290,True,4.01e-05,使498290,True,4.01e-05
32,使539369,使539369,使539369,True,1.30e-04,使539369,True,1.30e-04
33,使188196,使188196,使188196,True,4.20e-05,使188196,True,4.20e-05
34,使621601,使621601,使621601,True,3.62e-05,使621601,True,3.62e-05
35,使233794,使233794,使233794,True,7.63e-05,使233794,True,7.63e-05
36,使681747,使681747,使681747,True,1.22e-04,使681747,True,1.22e-04
37,使053083,使053083,使053083,True,8.01e-05,使053083,True,8.01e-05
38,使953541,使953541,使953541,True,9.16e-05,使953541,True,9.16e-05
39,使888156,使888156,使888156,True,9.16e-05,使888156,True,9.16e-05
40,使500309,使500309,使500309,True,6.29e-05,使500309,True,6.29e-05
41,使787051,使787051,使787051,True,6.48e-05,使787051,True,6.48e-05
42,使412544,使412544,使412544,True,4.96e-05,使412544,True,4.96e-05
43,使781054,使781054,使781054,True,3.43e-05,使781054,True,3.43e-05
44,使132231,使132231,使132231,True,4.58e-05,使132231,True,4.58e-05
45,使574094,使574094,使574094,True,7.63e-05,使574094,True,7.63e-05
46,使162337,使16237,使16237,True,9.16e-05,使16237,True,9.16e-05
47,使371792,使371792,使371792,True,5.53e-05,使371792,True,5.53e-05
48,使855076,使855076,使855076,True,3.43e-05,使855076,True,3.43e-05
49,使340489,使340489,使340489,True,4.96e-05,使340489,True,4.96e-05
50,使509933,使509933,使509933,True,5.15e-05,使509933,True,5.15e-05
51,使636089,使636089,使636089,True,3.81e-05,使636089,True,3.81e-05
52,使964746,使964746,使964746,True,4.20e-05,使964746,True,4.20e-05
53,使012087,使012087,使012087,True,3.91e-05,使012087,True,3.91e-05
54,使537933,使537933,使537933,True,5.34e-05,使537933,True,5.34e-05
55,使772614,使772614,使772614,True,7.06e-05,使772614,True,7.06e-05
56,使317787,使317787,使317787,True,5.34e-05,使317787,True,5.34e-05
57,使314709,使314709,使314709,True,7.63e-05,使314709,True,7.63e-05
58,使139265,使139265,使139265,True,5.15e-05,使139265,True,5.15e-05
59,使674147,使674147,使674147,True,3.05e-05,使674147,True,3.05e-05
60,使322407,使322407,使322407,True,5.25e-05,使322407,True,5.25e-05
61,使995193,使995193,使995193,True,4.01e-05,使995193,True,4.01e-05
62,使402899,使402899,使402899,True,6.48e-05,使402899,True,6.48e-05
63,使645074,使645074,使645074,True,3.81e-05,使645074,True,3.81e-05
64,使115589,使115589,使115589,True,5.72e-05,使115589,True,5.72e-05
65,使773654,使773654,使773654,True,4.58e-05,使773654,True,4.58e-05
66,使337344,使337344,使337344,True,3.05e-05,使337344,True,3.05e-05
67,使875425,使875425,使875425,True,7.63e-05,使875425,True,7.63e-05
68,使375722,使375722,使375722,True,4.39e-05,使375722,True,4.39e-05
69,使284401,使284401,使284401,True,7.63e-05,使284401,True,7.63e-05
70,使709015,使709015,使709015,True,5.15e-05,使709015,True,5.15e-05
71,使170237,使170237,使170237,True,4.96e-05,使170237,True,4.96e-05
72,使869249,使869249,使869249,True,5.34e-05,使869249,True,5.34e-05
73,使378237,使378237,使378237,True,4.39e-05,使378237,True,4.39e-05
74,使961683,使961683,使961683,True,2.96e-05,使961683,True,2.96e-05
75,使967613,使967613,使967613,True,4.01e-05,使967613,True,4.01e-05
76,使101998,使101998,使101998,True,6.87e-05,使101998,True,6.87e-05
77,使598497,使598497,使598497,True,3.72e-05,使598497,True,3.72e-05
78,使052006,使052006,使052006,True,6.10e-05,使052006,True,6.10e-05
79,使949326,使949326,使949326,True,5.15e-05,使949326,True,5.15e-05
80,使754681,使754681,使754681,True,4.01e-05,使754681,True,4.01e-05
81,使968926,使968926,使968926,True,4.58e-05,使968926,True,4.58e-05
82,使325699,使325699,使325699,True,6.87e-05,使325699,True,6.87e-05
83,使204467,使204467,使204467,True,5.72e-05,使204467,True,5.72e-05
84,使334857,使34857,使34857,True,6.87e-05,使34857,True,6.87e-05
85,使206908,使206908,使206908,True,5.34e-05,使206908,True,5.34e-05
86,使870975,使870975,使870975,True,4.58e-05,使870975,True,4.58e-05
87,使474732,使674732,使674732,True,9.16e-05,使674732,True,9.16e-05
88,使231864,使231864,使231864,True,4.58e-05,使231864,True,4.58e-05
89,使100253,使100253,使100253,True,1.53e-04,使100253,True,1.53e-04
90,使991154,使991154,使991154,True,6.87e-05,使991154,True,6.87e-05
91,使233614,使233614,使233614,True,4.10e-05,使233614,True,4.10e-05
92,使242817,使242817,使242817,True,4.58e-05,使242817,True,4.58e-05
93,使478638,使478638,使478638,True,9.16e-05,使478638,True,9.16e-05
94,使728426,使728426,使728426,True,3.05e-05,使728426,True,3.05e-05
95,使650245,使650245,使650245,True,5.72e-05,使650245,True,5.72e-05
96,使641634,使641634,使641634,True,2.86e-05,使641634,True,2.86e-05
97,使486548,使486548,使486548,True,3.81e-05,使486548,True,3.81e-05
98,使717831,使717831,使717831,True,4.01e-05,使717831,True,4.01e-05
99,使165604,使165604,使165604,True,2.00e-05,使165604,True,2.00e-05
