idx,img_path,GT,pred,ok,len_err,len_gt,len_pred
37,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0363505747126-98_74-242&447_521&575-530&584_259&536_241&442_512&490-0_0_20_33_22_32_33-124-186_emb_使053083.jpg,使053083,使053083,1,0,7,7
38,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0131704980843-90_81-176&543_390&609-394&608_189&601_177&530_382&537-0_7_10_9_30_25_29-87-21_emb_使953541.jpg,使953541,使953541,1,0,7,7
39,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0116020114943-92_88-293&563_476&637-480&632_302&629_303&568_481&571-0_0_16_25_30_27_23-28-15_emb_使888156.jpg,使888156,使888156,1,0,7,7
40,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0327514367816-91_87-179&472_481&585-479&583_177&579_189&473_491&477-0_0_7_33_31_29_19-112-32_emb_使500309.jpg,使500309,使500309,1,0,7,7
41,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0186063218391-89_93-241&465_480&550-480&549_236&552_240&465_484&462-0_0_13_24_32_24_1-177-36_emb_使787051.jpg,使787051,使787051,1,0,7,7
42,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0221551724138-90_91-202&444_483&534-497&536_205&532_204&444_496&448-10_4_12_24_24_12_24-141-39_emb_使412544.jpg,使412544,使412544,1,0,7,7
43,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00782207854407-90_85-148&426_301&490-313&489_157&502_152&445_308&432-0_0_22_27_1_25_24-72-9_emb_使781054.jpg,使781054,使781054,1,0,7,7
44,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0340780651341-106_69-222&477_447&629-441&634_222&559_218&465_437&540-0_16_12_24_24_27_25-110-75_emb_使132231.jpg,使132231,使132231,1,0,7,7
45,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0126724137931-90_96-283&487_488&555-493&550_289&569_300&495_504&476-0_0_6_23_32_26_33-58-9_emb_使574094.jpg,使574094,使574094,1,0,7,7
46,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00808189655172-92_83-198&564_343&643-342&638_200&628_192&575_334&585-0_0_4_24_26_32_15-85-28_emb_使162337.jpg,使162337,使16237,0,1,7,6
47,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0180172413793-89_87-165&443_412&539-422&526_172&531_162&447_412&442-0_0_26_27_21_30_32-63-76_emb_使371792.jpg,使371792,使371792,1,0,7,7
48,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0362715517241-95_80-217&466_540&589-534&604_225&563_219&463_528&504-1_2_24_2_3_25_32-160-36_emb_使855076.jpg,使855076,使855076,1,0,7,7
49,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0202921455938-89_90-338&503_581&601-577&583_337&595_343&501_583&489-0_0_15_24_30_30_23-60-21_emb_使340489.jpg,使340489,使340489,1,0,7,7
50,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0316666666667-101_73-252&487_498&622-503&623_259&566_242&480_486&537-0_0_7_3_27_26_24-133-60_emb_使509933.jpg,使509933,使509933,1,0,7,7
51,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0158010057471-90_83-168&539_429&607-446&608_181&607_153&527_418&528-0_0_1_24_1_25_30-50-18_emb_使636089.jpg,使636089,使636089,1,0,7,7
52,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0272892720307-89_95-371&504_645&602-629&585_365&605_390&506_654&486-0_0_8_24_31_29_17-169-50_emb_使964746.jpg,使964746,使964746,1,0,7,7
53,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0315134099617-90_87-273&518_627&617-631&628_294&614_284&520_621&534-0_0_11_30_33_24_17-101-39_emb_使012087.jpg,使012087,使012087,1,0,7,7
54,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0184782088122-90_90-281&498_555&566-555&580_298&580_299&501_556&501-0_0_32_31_1_27_30-39-10_emb_使537933.jpg,使537933,使537933,1,0,7,7
55,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0159578544062-91_84-257&517_469&602-476&605_265&590_249&515_460&530-0_0_27_32_26_1_33-105-35_emb_使772614.jpg,使772614,使772614,1,0,7,7
56,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0157028256705-90_90-274&558_511&635-521&642_270&641_277&557_528&558-0_0_13_16_26_24_26-159-75_emb_使317787.jpg,使317787,使317787,1,0,7,7
57,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0144001436781-90_87-203&524_444&607-459&597_236&599_213&528_436&526-0_0_22_30_15_26_33-98-24_emb_使314709.jpg,使314709,使314709,1,0,7,7
58,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0161242816092-88_91-220&342_446&428-451&412_241&423_242&350_452&339-0_11_25_31_25_29_25-115-49_emb_使139265.jpg,使139265,使139265,1,0,7,7
59,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0225933908046-90_91-265&464_533&537-523&540_276&547_276&463_523&456-0_0_33_26_24_20_29-127-34_emb_使674147.jpg,使674147,使674147,1,0,7,7
60,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0353017241379-90_90-206&395_538&511-535&504_200&507_202&396_537&393-0_0_18_31_4_24_24-56-17_emb_使322407.jpg,使322407,使322407,1,0,7,7
61,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00732519157088-90_96-310&504_483&552-498&561_295&562_297&495_500&494-0_0_18_31_27_33_30-129-18_emb_使995193.jpg,使995193,使995193,1,0,7,7
62,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0316487068966-89_87-213&417_543&528-528&521_209&528_213&420_532&413-0_0_8_29_10_33_32-125-121_emb_使402899.jpg,使402899,使402899,1,0,7,7
63,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/015625-91_83-170&508_407&588-414&582_181&573_170&500_403&509-0_2_29_24_29_32_25-134-54_emb_使645074.jpg,使645074,使645074,1,0,7,7
64,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0080316091954-90_90-282&495_445&558-440&554_286&550_288&499_442&503-0_0_1_2_28_27_26-54-45_emb_使115589.jpg,使115589,使115589,1,0,7,7
65,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0178448275862-89_91-344&578_578&649-581&654_332&650_335&565_584&569-0_0_12_32_10_32_33-142-14_emb_使773654.jpg,使773654,使773654,1,0,7,7
66,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/039691091954-94_87-111&508_452&629-457&632_123&599_121&506_455&539-0_0_7_33_24_29_4-80-114_emb_使337344.jpg,使337344,使337344,1,0,7,7
67,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0319564176245-92_78-187&501_528&596-524&619_191&589_171&484_504&514-0_0_10_24_1_27_30-164-47_emb_使875425.jpg,使875425,使875425,1,0,7,7
68,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0277143199234-91_86-237&481_562&585-552&583_255&561_256&467_553&489-0_0_14_12_25_33_33-60-29_emb_使375722.jpg,使375722,使375722,1,0,7,7
69,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0132363505747-90_88-201&396_430&459-429&461_200&462_194&386_423&385-0_0_24_30_24_31_25-141-56_emb_使284401.jpg,使284401,使284401,1,0,7,7
70,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/014533045977-90_79-147&443_397&521-414&531_143&516_120&427_391&442-0_0_21_32_24_32_13-148-59_emb_使709015.jpg,使709015,使709015,1,0,7,7
71,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0386386494253-90_87-148&469_515&609-530&614_141&605_129&467_518&476-0_0_27_25_26_21_31-122-32_emb_使170237.jpg,使170237,使170237,1,0,7,7
72,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0270210727969-94_88-115&549_377&660-376&659_130&638_137&556_383&577-0_0_3_3_33_33_26-107-167_emb_使869249.jpg,使869249,使869249,1,0,7,7
73,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0142636494253-90_90-314&407_535&467-537&464_312&479_315&412_540&397-0_0_4_32_31_33_31-119-36_emb_使378237.jpg,使378237,使378237,1,0,7,7
74,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0357375478927-92_84-179&446_546&552-534&557_189&541_185&439_530&455-0_0_1_12_27_27_27-59-49_emb_使961683.jpg,使961683,使961683,1,0,7,7
75,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00930795019157-91_81-259&451_437&515-444&521_256&521_249&456_437&456-0_0_0_8_26_26_24-147-28_emb_使967613.jpg,使967613,使967613,1,0,7,7
76,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0144755747126-87_92-204&420_404&488-405&477_208&502_211&432_408&407-0_8_4_4_29_30_31-111-48_emb_使101998.jpg,使101998,使101998,1,0,7,7
77,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0278855363985-93_84-243&471_546&567-562&572_258&555_240&468_544&485-0_0_21_20_30_32_26-102-78_emb_使598497.jpg,使598497,使598497,1,0,7,7
78,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0257136015326-95_83-196&443_453&546-458&554_198&519_193&425_453&460-0_0_6_26_31_32_10-154-75_emb_使052006.jpg,使052006,使052006,1,0,7,7
79,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0290229885057-89_92-195&483_503&579-512&580_197&579_194&475_509&476-0_3_25_27_28_33_33-94-140_emb_使949326.jpg,使949326,使949326,1,0,7,7
80,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0129454022988-90_84-262&504_494&570-486&564_276&565_271&496_481&495-0_0_10_31_25_24_12-84-51_emb_使754681.jpg,使754681,使754681,1,0,7,7
81,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0199137931034-95_76-213&435_458&510-452&529_234&502_222&425_440&452-0_0_8_27_26_26_11-84-60_emb_使968926.jpg,使968926,使968926,1,0,7,7
82,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0214978448276-100_74-178&519_390&637-398&640_187&593_174&510_385&557-0_0_26_20_30_26_24-177-39_emb_使325699.jpg,使325699,使325699,1,0,7,7
83,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0280016762452-87_90-383&380_651&489-651&472_388&489_386&395_649&378-0_0_6_18_25_24_33-89-30_emb_使204467.jpg,使204467,使204467,1,0,7,7
84,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0239367816092-90_91-334&530_579&634-573&629_330&632_343&533_586&530-0_0_1_21_26_27_31-56-61_emb_使334857.jpg,使334857,使34857,0,1,7,6
85,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0103927203065-90_86-388&529_554&593-553&592_394&593_392&527_551&526-0_0_7_29_31_24_11-160-18_emb_使206908.jpg,使206908,使206908,1,0,7,7
86,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0190373563219-93_92-409&484_635&570-636&577_399&550_399&471_636&498-0_0_10_3_30_28_26-126-55_emb_使870975.jpg,使870975,使870975,1,0,7,7
87,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0212056992338-89_90-264&479_478&570-472&553_268&575_276&486_480&464-0_0_21_25_33_26_3-52-14_emb_使474732.jpg,使474732,使674732,0,0,7,7
88,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0137164750958-94_81-270&475_470&552-491&561_273&542_260&470_478&489-0_0_9_23_26_31_31-109-43_emb_使231864.jpg,使231864,使231864,1,0,7,7
89,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0397844827586-77_100-183&447_440&604-453&532_210&606_204&507_447&433-0_0_12_33_28_32_32-60-39_emb_使100253.jpg,使100253,使100253,1,0,7,7
90,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0256034482759-89_90-276&297_533&394-551&386_283&398_284&304_552&292-0_0_22_8_33_28_31-116-52_emb_使991154.jpg,使991154,使991154,1,0,7,7
91,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00905172413793-90_87-214&520_403&581-415&584_209&583_209&518_415&519-0_0_20_7_33_32_30-143-26_emb_使233614.jpg,使233614,使233614,1,0,7,7
92,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0102370689655-90_91-255&484_452&547-448&543_256&541_253&480_445&482-0_0_10_31_20_31_32-95-11_emb_使242817.jpg,使242817,使242817,1,0,7,7
93,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/027503591954-91_90-195&529_451&638-454&634_203&626_211&528_462&536-0_0_19_26_29_28_28-174-36_emb_使478638.jpg,使478638,使478638,1,0,7,7
94,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0173311781609-84_92-339&328_558&432-567&397_350&428_332&356_549&325-0_0_13_31_2_25_24-66-11_emb_使728426.jpg,使728426,使728426,1,0,7,7
95,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0307159961686-95_83-119&478_388&588-394&586_120&559_121&466_395&493-0_0_3_5_33_27_24-160-79_emb_使650245.jpg,使650245,使650245,1,0,7,7
96,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0276185344828-98_84-261&293_513&418-524&417_261&371_253&284_516&330-0_0_32_27_9_31_32-76-46_emb_使641634.jpg,使641634,使641634,1,0,7,7
97,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0337164750958-94_75-199&470_533&582-559&585_217&558_178&458_520&485-0_0_4_33_31_26_4-133-152_emb_使486548.jpg,使486548,使486548,1,0,7,7
98,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0125694444445-92_86-322&464_516&543-517&542_321&529_317&467_513&480-0_0_3_33_30_31_23-122-37_emb_使717831.jpg,使717831,使717831,1,0,7,7
99,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0379166666667-90_84-163&443_553&562-556&555_176&544_167&443_547&454-0_0_22_29_6_31_29-97-165_emb_使165604.jpg,使165604,使165604,1,0,7,7
100,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0219468390805-87_98-406&587_657&675-653&655_395&679_401&603_659&579-0_0_29_32_3_29_25-73-38_emb_使372819.jpg,使372819,使372819,1,0,7,7
101,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0318223180076-89_89-190&479_466&588-471&568_206&591_200&497_465&474-0_0_27_27_25_5_33-146-47_emb_使718305.jpg,使718305,使718305,1,0,7,7
102,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0237859195402-94_79-232&571_516&668-512&669_234&653_218&563_496&579-0_0_2_29_26_29_21-147-71_emb_使465465.jpg,使465465,使465465,1,0,7,7
103,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0150933908046-89_91-314&466_539&544-539&545_305&546_307&461_541&460-0_0_5_18_32_29_25-112-20_emb_使811169.jpg,使811169,使811169,1,0,7,7
104,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0130651340996-91_91-202&540_391&608-388&609_201&610_207&539_394&538-0_0_3_27_24_25_0-165-18_emb_使677553.jpg,使677553,使677553,1,0,7,7
105,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0294097222222-90_90-179&481_521&569-521&578_188&581_191&475_524&472-0_0_22_31_11_30_30-168-53_emb_使999515.jpg,使999515,使999515,1,0,7,7
106,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0232040229885-93_87-228&491_478&609-487&604_223&590_212&482_476&496-0_0_17_7_24_28_29-83-21_emb_使697974.jpg,使697974,使697974,1,0,7,7
107,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0216522988505-90_94-246&480_542&569-528&572_250&568_281&480_559&484-0_0_20_28_24_25_20-101-158_emb_使649789.jpg,使649789,使649789,1,0,7,7
108,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0274305555555-93_72-189&429_492&548-510&543_226&512_188&418_472&449-0_0_33_10_31_33_24-88-16_emb_使980055.jpg,使980055,使980055,1,0,7,7
109,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0362787356322-96_83-206&471_529&601-539&605_208&562_191&472_522&515-1_0_24_22_31_24_26-89-63_emb_使522163.jpg,使522163,使522163,1,0,7,7
110,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0128987068966-90_90-299&610_523&674-524&686_318&675_320&603_526&614-0_12_5_16_27_30_30-39-19_emb_使595518.jpg,使595518,使595518,1,0,7,7
111,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/014534243295-89_92-309&527_512&605-509&598_307&610_314&532_516&520-0_0_10_22_33_31_31-81-21_emb_使262168.jpg,使262168,使262168,1,0,7,7
112,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0270713601533-87_90-279&479_536&585-537&571_287&585_295&485_545&471-0_0_27_33_6_27_33-127-117_emb_使210938.jpg,使210938,使210938,1,0,7,7
113,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0118678160919-90_90-468&564_659&639-645&633_477&634_476&568_644&567-0_0_19_21_24_33_26-103-39_emb_使677260.jpg,使677260,使67260,0,1,7,6
114,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/041091954023-89_89-162&482_507&602-521&594_166&603_170&483_525&474-0_0_19_31_24_32_6-168-56_emb_使734654.jpg,使734654,使734654,1,0,7,7
115,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00352011494253-90_83-296&410_421&447-411&450_296&454_293&416_408&412-0_0_26_30_22_29_30-99-11_emb_使703594.jpg,使703594,使703594,1,0,7,7
116,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0212045019157-91_90-232&489_493&586-492&578_239&572_237&496_490&502-0_0_23_23_31_25_31-76-118_emb_使433646.jpg,使433646,使433646,1,0,7,7
117,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0225095785441-94_78-214&418_451&513-458&515_216&486_203&406_445&435-0_0_30_10_27_32_26-147-24_emb_使342427.jpg,使342427,使342427,1,0,7,7
118,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0218390804598-99_70-209&438_419&540-424&558_212&508_196&427_408&477-0_4_24_28_30_27_31-56-25_emb_使183260.jpg,使183260,使18326,0,1,7,6
119,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0221875-92_87-264&577_549&656-543&660_256&646_253&572_540&586-0_0_0_33_11_30_24-74-30_emb_使562760.jpg,使562760,使562760,1,0,7,7
120,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0134997605364-90_90-211&448_438&509-430&513_217&517_217&448_430&444-0_0_29_26_26_32_27-124-37_emb_使572078.jpg,使572078,使572078,1,0,7,7
121,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0324521072797-90_88-207&468_542&566-534&578_213&577_215&464_536&465-0_0_10_32_18_27_26-176-68_emb_使234671.jpg,使234671,使234671,1,0,7,7
122,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0210201149426-90_86-256&497_536&585-528&582_264&583_269&493_533&492-0_0_0_20_27_31_32-136-23_emb_使915430.jpg,使915430,使915430,1,0,7,7
